Opinion,Labels,,,,,,,,,,,,,,,,,,,,,,
"khuôn viên r?ng rãi, khang trang, s?ch s?, m? tr??ng hoà ??ng, vui v?, ?ào t?o ok, h?c phí r? ,...ok.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Ki?nh g??i ông hiê?u tr???ng cu?ng ca?c ba?n sinh viên thân mê?n, da?o na?y, ch??c ca?c ba?n ?ang co? ch??ng tri?nh ca nha?c nên luyê?n tâ?p kha? h?ng say. Co? nh??ng ba?n ha?t râ?t truyê?n ca?m. Song song v??i viê?c ?o?, ng???i dân phi?a sau tr???ng ca?c ba?n la? khu tâ?p thê? ta?u Thu?y, râ?t biê?t ?n ca?c ba?n nê?u d??ng tâ?p ha?t s??m tr???c 6h tô?i ha?ng nga?y. Khu tâ?p thê? toa?n ca?n bô? vê? h?u ?a? l??n tuô?i va? ca?c ba?c ng???i Nhâ?t, râ?t câ?n ????c nghi? ng?i s??m. ???c biê?t tra?nh cho cho? ha?ng xo?m su?a theo tiê?ng nha?c cu?a ca?c ba?n gây ô?n xo?m. Chu?ng tôi, thay m??t khu tâ?p thê?, ca?c cu?, ca?c ba? xin chân tha?nh ông hiê?u tr???ng ?a?ng ki?nh va? ca?c ba?n sinh viên ?a?ng mê?n. Xin chu?c mo?i ng???i ma?nh kho?e, công ta?c tô?t !",Negative,,,,,,,,,,,,,,,,,,,,,,
Mình c?n tìm phòng tr? g?n tr??ng giao thông. Giá 1tr/ tháng. Có ch? ?? g?i và s?c xe ??p ?i?n. V? sinh s?ch s?. B?n nào bi?t ch? mình v?i. Mình ?ang c?n g?p. Ai bi?t thì liên h? v?i mình qua s?t 0972499893,Neutral,,,,,,,,,,,,,,,,,,,,,,
??i h?c Giao thông v?n t?i là tuy?t ??nh,Positive,,,,,,,,,,,,,,,,,,,,,,
Nhi?u anh sinh viên ??p trai :(((,Positive,,,,,,,,,,,,,,,,,,,,,,
"T? gi? hãy g?i UTC là ??i h?c Th? d?c Th? thao C?u Gi?y! Không ch? giành ???c ngôi v? Quán quân c?a Gi?i Vô ??ch bóng ?á sinh viên toàn qu?c, 2022 còn là n?m tr??ng ??i h?c Giao thông V?n t?i ?ánh d?u tên tu?i trong làng bóng r? sinh viên v?i v? trí Á quân. Ngày 25/11, tr??ng ??i h?c Giao thông V?n t?i ?ã di?n ra bu?i g?p m?t, tuyên d??ng thành tích mà hai ??i bóng ?á và bóng r? ?ã ??t ???c. Và ch? khiêm t?n khi t? nh?n là ""nh?ng chàng k? s? t??ng lai thích qu? bóng tròn"", nh?ng thành tích mà các th?y, các b?n ?ã ??t ???c qu? th?c vô cùng x?ng ?áng. M?t l?n n?a, xin chúc m?ng và xin h?n g?p l?i!",Positive,,,,,,,,,,,,,,,,,,,,,,
 nhi?u trai xinh gái ??p,Positive,,,,,,,,,,,,,,,,,,,,,,
??i h?c sân kh?u ?i?n ?nh ?i ?,Neutral,,,,,,,,,,,,,,,,,,,,,,
Nh? xem clip m?i bi?t tr??ng mình nhi?u n? ??n v?y ,Positive,,,,,,,,,,,,,,,,,,,,,,
hahaha gtvt vô ?ó là ? nha. ??ng ti?p b??c tôi ae ?. 100 nam thì 20 n?a thôi kkk. có khi 3 4 n?a.,Negative,,,,,,,,,,,,,,,,,,,,,,
"Có m?i cái m?ng thôi, ngày nào c?ng ph?i n?n n? ??  xin ???c gi?i quy?t. ?óng ti?n thì không tr?t ngày nào, mà dùng thì c? nh? bao c?p. C? dd?n t?i ph?i ?i xin, r?i m?ng thì nh? theo l??t. Hôm A6 m?t thì dênd A1 A1 m?t thì quay l?i A6, chán chán thì nh?p nháy 4-5 phút c?t m?t phát. K bi?t hi?p h?i b?o v? ng??i tiêu dùng có can thi?p ?c vào v?n ?? này k? :((( tôi bu?n quá. ?ã Fa k có gì làm có m?i cái m?ng ?? b?u b?n, lúc thì h?c lúc thì ch?i gi? cúp luôn thì tìm ni?m vui n?i ?âu???",Negative,,,,,,,,,,,,,,,,,,,,,,
"Ktx tr??ng mình khá ?n. Có phònó nóng l?nh vs ?i?u hoà ( s? phòng khá ít ) , còn l?i là ko có. E mu?n phòng vip thì nên dki s?m m?i có phòng. Còn thuê tr?, R? thì d?c ???ng c?u gi?y. Còn mu?n g?n sát tr??ng thì có th? thuê d?c ???ng láng, ngõ 1194 ho?c g?n ngo?i th??ng. Nh?ng giá ?i?n s? chát h?n ??.",Positive,,,,,,,,,,,,,,,,,,,,,,
Câu L?c B? c?a ?áy Xã H?i b?n tham gia ko,Negative,,,,,,,,,,,,,,,,,,,,,,
"? ký túc vui l?m các b?n
Tôi hay sang ký túc ch?i và ?n tr?c",Positive,,,,,,,,,,,,,,,,,,,,,,
Ktx ??i l?p v?i tr??ng luôm :vv,Negative,,,,,,,,,,,,,,,,,,,,,,
? n?a tháng 1tr ti?n ?i?n nhé:))),Negative,,,,,,,,,,,,,,,,,,,,,,
"Nay mình v?a lh h?i thì ngta b?o ktx ?ang s?a ch?a , sv châc ph?i m?t 1 kì m?i ?c ?",Neutral,,,,,,,,,,,,,,,,,,,,,,
S? r?t tuy?t v?i hôm nào m?a .,Positive,,,,,,,,,,,,,,,,,,,,,,
???c em ah !,Positive,,,,,,,,,,,,,,,,,,,,,,
"Vào ?i em, nhi?u ni?m vuiii lém??
",Positive,,,,,,,,,,,,,,,,,,,,,,
"ngành này r?t tuy?t nha, quy?t tâm hk ch?c ch?n full A+ nha??",Positive,,,,,,,,,,,,,,,,,,,,,,
Vào ?i em h?c d? l?m,Positive,,,,,,,,,,,,,,,,,,,,,,
"UTCer t?p duy?t ??n ?âu r?i ? Còn 68 ngày n?a là t?t ??y các b?n ?i. N?m nay không c?n s?m áo m?i ?âu nhé. Khoác long bào v? quê ?n t?t là c? làng, c? thôn ph?i ng??c nhìn ",Positive,,,,,,,,,,,,,,,,,,,,,,
"“ Nh?ng câu chuy?n chào tân sinh viên K63. “??ng bên k? túc xã hongkong, mình nhìn ???c toàn c?nh các UTCer ?ang cháy h?t mình cùng ?êm nh?c h?i. Và sau m?i d?p chào tân c?ng là nh?ng câu chuy?n d? khóc, d? c??i ??n t?: nh?ng cây hài nhân dân, nh?ng ngh? s? ?u tú, nh?ng cây bút xu?t s?c… mang tên UTCer.
 Mình ?ã l?u l?i nh?ng kho?nh kh?c ??p này và nh?ng l?i nh?c nh? tuy?t v?i c?a các b?n ?? n?m sau còn k? cho các em K64… . UTCer share bài này ?i nào. N?m sau fb nh?c l?i còn share l?i n?a",Positive,,,,,,,,,,,,,,,,,,,,,,
